Questions;Answers; ; ; ;Indexes; ; ;
Weinkeller Probe 131 Farbe;Hellgelb; ; ; ;0; ; ;
Weinkeller Probe 131 Geruch;Fruchtig;Apfel;Birne; ;2;6;7;
Weinkeller Probe 131 Geschmack;Dominante Säure;Alkoholisch; ; ;5;7; ;
Weinkeller Probe 720 Farbe;Hellgelb; ; ; ;0; ; ;
Weinkeller Probe 720 Geruch;Holz;Dumpf; ; ;10;11; ;
Weinkeller Probe 720 Geschmack;Leichte Süße;Dezente Säure;SchmelzCremig;Holz;0;3;8;9
Weinkeller Probe 597 Farbe;Hellgelb; ; ; ;0; ; ;
Weinkeller Probe 597 Geruch;Vegetativ; ; ; ;8; ; ;
Weinkeller Probe 597 Geschmack;Süß;Dezente Säure; ; ;1;3; ;
Proband ID;10; ; ;
Studie;CATA; ; ;
Studie Variante;Weißwein; ; ;
Umgebung;Weinkeller; ; ;
