Questions;Answers; ; ; ;Indexes; ; ;
Weinkeller Probe 644 Farbe;Dunkelrot mit bläul. Reflexen; ; ; ;2; ; ;
Weinkeller Probe 644 Geruch;Würzig;Kirsche;Dunkle Beeren;Holz;2;6;7;12
Weinkeller Probe 644 Geschmack;Adstringierend;Tannine;Holz;Bitter;1;2;6;7
Weinkeller Probe 983 Farbe;Hellrot mit braunem Rand; ; ; ;0; ; ;
Weinkeller Probe 983 Geruch;Vegetativ;Würzig;Dumpf; ;1;2;4;
Weinkeller Probe 983 Geschmack;Tannine;Bitter; ; ;2;7; ;
Proband ID;22; ; ;
Studie;CATA; ; ;
Studie Variante;Rotwein; ; ;
Umgebung;Weinkeller; ; ;
