Questions;Answers; ; ; ;Indexes; ; ;
Weinkeller Probe 322 Farbe;Dunkelrot mit bläul. Reflexen; ; ; ;2; ; ;
Weinkeller Probe 322 Geruch;Dumpf;Dunkle Beeren;Pflaume;Holz;4;7;8;12
Weinkeller Probe 322 Geschmack;Tannine;Dezente Säure;Leichte Süße; ;2;5;8;
Weinkeller Probe 644 Farbe;Rubinrot; ; ; ;1; ; ;
Weinkeller Probe 644 Geruch;Fruchtig;Kirsche;Vanille;Holz;0;6;10;12
Weinkeller Probe 644 Geschmack;Adstringierend;Tannine;Holz;Dominante Säure;1;2;6;9
Proband ID;24; ; ;
Studie;CATA; ; ;
Studie Variante;Rotwein; ; ;
Umgebung;Weinkeller; ; ;
